Сотрудник 1: Абрамов Захар Константинович; IT-отдел; Инженер-лаборант; 325827
Сотрудник 2: Абрамова Яна Михайловна; IT-отдел; Заведующий (начальник) отделом кадров; 294391
Сотрудник 3: Александров Дмитрий Анатольевич; IT-отдел; Инженер по качеству; 386744
Сотрудник 4: Алексеева Мия Львовна; IT-отдел; Заведующий копировально-множительным бюро; 466235
Сотрудник 5: Андреев Даниил Кириллович; IT-отдел; Менеджер; 278689
Сотрудник 6: Андреев Лев Платонович; IT-отдел; Инженер по научно-технической информации; 386736
Сотрудник 7: Андреев Михаил Филиппович; IT-отдел; Главный научный сотрудник; 242002
Сотрудник 8: Андреева Дарья Марковна; IT-отдел; Заведующий фотолабораторией; 222237
Сотрудник 9: Архипов Сергей Александрович; IT-отдел; Секретарь - машинистка; 366801
Сотрудник 10: Афанасьев Дмитрий Дмитриевич; IT-отдел; Заведующий чертежно-копировальным бюро; 144339
Сотрудник 11: Афанасьев Дмитрий Дмитриевич; IT-отдел; Начальник производственного отдела; 250266
Сотрудник 12: Афанасьев Иван Максимович; IT-отдел; Инспектор по контролю за исполнением поручений; 388323
Сотрудник 13: Афанасьев Тимур Алексеевич; IT-отдел; Начальник инструментального отдела; 369532
Сотрудник 14: Бабушкина Ева Егоровна; IT-отдел; Управляющий отделением (фермой, сельскохозяйственным участком); 492785
Сотрудник 15: Баженова Алиса Сергеевна; IT-отдел; Инкассатор; 150476
Сотрудник 16: Балашов Савва Ильич; IT-отдел; Главный сварщик; 127289
Сотрудник 17: Баранова Милана Александровна; IT-отдел; Инженер по нормированию труда; 229004
Сотрудник 18: Басова Валерия Львовна; IT-отдел; Ассистент инспектора фонда; 485691
Сотрудник 19: Белов Кирилл Никитич; IT-отдел; Заведующий (начальник) отделом кадров; 310466
Сотрудник 20: Беляев Тимофей Максимович; IT-отдел; Менеджер по связям с общественностью; 200434
Сотрудник 21: Беспалова Анастасия Никитична; IT-отдел; Менеджер по связям с инвесторами; 329427
Сотрудник 22: Бессонов Михаил Артёмович; IT-отдел; Начальник лаборатории (бюро) технико - экономических исследований; 394688
Сотрудник 23: Бирюков Максим Георгиевич; IT-отдел; Агент торговый; 229559
Сотрудник 24: Бирюкова Екатерина Михайловна; IT-отдел; Главный научный сотрудник; 345505
Сотрудник 25: Боброва Александра Семёновна; IT-отдел; Начальник отдела комплектации оборудования; 382503
Сотрудник 26: Богданов Владимир Тимофеевич; IT-отдел; Начальник отдела по связям с общественностью; 325342
Сотрудник 27: Борисов Тимур Георгиевич; IT-отдел; Оператор диспетчерской службы; 432118
Сотрудник 28: Борисова Мария Сергеевна; IT-отдел; Аудитор; 156080
Сотрудник 29: Булатова Анна Михайловна; IT-отдел; Начальник исследовательской лаборатории; 440835
Сотрудник 30: Булгаков Лев Михайлович; IT-отдел; Кодификатор; 104894
Сотрудник 31: Булгаков Лев Михайлович; IT-отдел; Дежурный бюро пропусков; 498883
Сотрудник 32: Быков Андрей Ильич; IT-отдел; Заведующий камерой хранения; 448328
Сотрудник 33: Васильев Даниил Артёмович; IT-отдел; Начальник (руководитель) бригады (группы); 346536
Сотрудник 34: Васильева Полина Ярославовна; IT-отдел; Лаборант; 464261
Сотрудник 35: Винокуров Иван Егорович; IT-отдел; Брокер; 406155
Сотрудник 36: Власов Илья Васильевич; IT-отдел; Заведующий (начальник) отделом научно-технической информации; 147688
Сотрудник 37: Власов Илья Васильевич; IT-отдел; Дежурный бюро пропусков; 394043
Сотрудник 38: Волков Алексей Арсеньевич; IT-отдел; Заведующий камерой хранения; 368249
Сотрудник 39: Волков Владимир Даниилович; IT-отдел; Главный бухгалтер; 235505
Сотрудник 40: Волков Фёдор Серафимович; IT-отдел; Архитектор; 165924
Сотрудник 41: Воробьев Владислав Андреевич; IT-отдел; Оператор диспетчерской службы; 169060
Сотрудник 42: Герасимов Тимур Кириллович; IT-отдел; Инженер по стандартизации; 325643
Сотрудник 43: Глебов Платон Дмитриевич; IT-отдел; Главный технолог; 453726
Сотрудник 44: Гончарова Анастасия Макаровна; IT-отдел; Начальник отдела маркетинга; 225424
Сотрудник 45: Горшкова Таисия Марковна; IT-отдел; Агент коммерческий; 121921
Сотрудник 46: Горячев Николай Даниилович; IT-отдел; Товаровед; 366181
Сотрудник 47: Грачева Елизавета Михайловна; IT-отдел; Ландшафтный архитектор; 234568
Сотрудник 48: Грачева Елизавета Михайловна; IT-отдел; Руководитель группы по инвентаризации строений и сооружений; 255832
Сотрудник 49: Григорьев Артемий Макарович; IT-отдел; Агент рекламный; 181685
Сотрудник 50: Григорьева Алиса Александровна; IT-отдел; Корректор; 324893
Сотрудник 51: Григорьева Анастасия Захаровна; IT-отдел; Агент по закупкам; 448330
Сотрудник 52: Григорьева Вероника Ивановна; IT-отдел; Начальник финансового отдела; 475631
Сотрудник 53: Громов Даниил Матвеевич; IT-отдел; Техник по метрологии; 243444
Сотрудник 54: Гуляева Екатерина Артёмовна; IT-отдел; Агент по закупкам; 343755
Сотрудник 55: Давыдов Илья Константинович; IT-отдел; Переводчик синхронный; 409813
Сотрудник 56: Давыдова Анастасия Богдановна; IT-отдел; Социолог; 393356
Сотрудник 57: Давыдова София Александровна; IT-отдел; Выпускающий; 213120
Сотрудник 58: Дегтярев Макар Даниилович; IT-отдел; Начальник отдела социального развития; 179863
Сотрудник 59: Дементьева Мария Мирославовна; IT-отдел; Главный механик; 454182
Сотрудник 60: Демьянов Александр Романович; IT-отдел; Заместитель директора по управлению персоналом; 288723
Сотрудник 61: Дмитриев Кирилл Степанович; IT-отдел; Техник по защите информации; 299078
Сотрудник 62: Дмитриев Кирилл Степанович; IT-отдел; Заведующий общежитием; 414706
Сотрудник 63: Евдокимов Никита Дмитриевич; IT-отдел; Агент рекламный; 458934
Сотрудник 64: Евдокимова Лидия Константиновна; IT-отдел; Инженер-электроник (электроник); 145148
Сотрудник 65: Жаров Мирон Романович; IT-отдел; Заведующий столовой; 368898
Сотрудник 66: Журавлев Пётр Егорович; IT-отдел; Начальник отдела капитального строительства; 462586
Сотрудник 67: Журавлева Виктория Тимофеевна; IT-отдел; Физиолог; 156707
Сотрудник 68: Журавлева Виктория Тимофеевна; IT-отдел; Инженер по качеству; 213783
Сотрудник 69: Завьялова Ангелина Данииловна; IT-отдел; Инженер по охране окружающей среды (эколог); 292103
Сотрудник 70: Захаров Александр Ильич; IT-отдел; Начальник отдела (лаборатории, сектора) по защите информации; 243690
Сотрудник 71: Захаров Кирилл Алексеевич; IT-отдел; Начальник отдела социального развития; 263977
Сотрудник 72: Зорина Екатерина Макаровна; IT-отдел; Профконсультант; 474263
Сотрудник 73: Зотова Кира Ярославовна; IT-отдел; Инженер по охране окружающей среды (эколог); 215463
