Сотрудник 1: Абрамова Мия Николаевна; IT-отдел; Главный сварщик; 159906
Сотрудник 2: Александров Дмитрий Анатольевич; IT-отдел; Начальник производственной лаборатории (по контролю производства); 475981
Сотрудник 3: Андреев Лев Платонович; IT-отдел; Заместитель директора (начальника) учреждения (организации) по научной работе. Главный инженер учреждения (организации); 304287
Сотрудник 4: Антонов Михаил Платонович; IT-отдел; Архивариус; 467103
Сотрудник 5: Белов Роберт Даниилович; IT-отдел; Младший редактор; 335852
Сотрудник 6: Васильев Андрей Михайлович; IT-отдел; Специалист по маркетингу; 115061
Сотрудник 7: Васильев Артём Львович; IT-отдел; Начальник нормативно-исследовательской лаборатории по труду; 154304
Сотрудник 8: Гаврилова Елизавета Леонидовна; IT-отдел; Главный бухгалтер; 323661
Сотрудник 9: Герасимова Кира Ярославовна; IT-отдел; Младший редактор; 412542
Сотрудник 10: Грачев Иван Семёнович; IT-отдел; Техник-проектировщик; 424156
Сотрудник 11: Грачев Марк Григорьевич; IT-отдел; Начальник отдела по связям с инвесторами; 121605
Сотрудник 12: Данилова Ксения Тимофеевна; IT-отдел; Экономист; 350563
Сотрудник 13: Дегтярев Макар Даниилович; IT-отдел; Инженер по организации управления производством; 381003
Сотрудник 14: Жуков Дмитрий Ильич; IT-отдел; Эксперт; 478466
Сотрудник 15: Исаев Максим Вадимович; IT-отдел; Техник по труду; 402890
Сотрудник 16: Козлова Виктория Ильинична; IT-отдел; Начальник лаборатории (бюро) технико - экономических исследований; 150986
Сотрудник 17: Кошелев Максим Тимофеевич; IT-отдел; Экономист вычислительного (информационно - вычислительного) центра; 358511
Сотрудник 18: Кузнецова Юлия Михайловна; IT-отдел; Младший научный сотрудник; 344828
Сотрудник 19: Лукьянов Александр Дмитриевич; IT-отдел; Инспектор по кадрам; 371427
Сотрудник 20: Мельникова Полина Данииловна; IT-отдел; Брокер торговый; 323056
Сотрудник 21: Михайлов Артём Егорович; IT-отдел; Начальник отдела маркетинга; 238405
Сотрудник 22: Морозова Мария Романовна; IT-отдел; Техник по метрологии; 488634
Сотрудник 23: Никитина Вероника Вячеславовна; IT-отдел; Эксперт по оценке соответствия лифтов требованиям безопасности; 110764
Сотрудник 24: Никифоров Богдан Петрович; IT-отдел; Эксперт дорожного хозяйства; 264496
Сотрудник 25: Новиков Артемий Глебович; IT-отдел; Экономист; 381983
Сотрудник 26: Полякова Варвара Елисеевна; IT-отдел; Директор гостиницы; 310224
Сотрудник 27: Семенов Матвей Даниилович; IT-отдел; Техник - программист; 370194
Сотрудник 28: Семенова Яна Максимовна; IT-отдел; Главный редактор; 290579
Сотрудник 29: Смирнова Варвара Владимировна; IT-отдел; Крупье; 154654
Сотрудник 30: Соловьев Матвей Львович; IT-отдел; Инженер по защите информации; 308253
Сотрудник 31: Терентьев Дмитрий Вячеславович; IT-отдел; Менеджер по персоналу; 345037
Сотрудник 32: Тимофеева Александра Дмитриевна; IT-отдел; Специалист по автотехнической экспертизе (эксперт-автотехник); 228606
Сотрудник 33: Токарев Арсений Кириллович; IT-отдел; Начальник отдела организации и оплаты труда; 388624
Сотрудник 34: Цветков Александр Сергеевич; IT-отдел; Инструктор-дактилолог; 113193
Сотрудник 35: Черных Вячеслав Владиславович; IT-отдел; Техник; 114804
Сотрудник 36: Шапошников Тимофей Макарович; IT-отдел; Заместитель директора (начальника) учреждения (организации) по научной работе. Главный инженер учреждения (организации); 207930
Сотрудник 37: Архипов Сергей Александрович; PR-отдел; Секретарь-стенографистка; 358062
Сотрудник 38: Балашов Роман Дмитриевич; PR-отдел; Заведующий аспирантурой; 172924
Сотрудник 39: Бирюкова Алёна Денисовна; PR-отдел; Начальник цеха (участка); 138289
Сотрудник 40: Богомолова София Тимуровна; PR-отдел; Брокер торговый; 170200
Сотрудник 41: Булатов Алексей Маркович; PR-отдел; Архитектор; 205670
Сотрудник 42: Быков Михаил Егорович; PR-отдел; Диспетчер; 221887
Сотрудник 43: Васильев Кирилл Вадимович; PR-отдел; Заведующий отделом (бюро) оформления проектных материалов; 449479
Сотрудник 44: Васильев Фёдор Александрович; PR-отдел; Секретарь руководителя; 184981
Сотрудник 45: Васильева Варвара Ярославовна; PR-отдел; Директор по связям с инвесторами; 144360
Сотрудник 46: Воронов Адам Кириллович; PR-отдел; Главный механик; 140247
