Сотрудник 1: Агеева Ева Макаровна; IT-отдел; Техник по труду; 206690
Сотрудник 2: Александров Захар Иванович; IT-отдел; Корпоративный секретарь акционерного общества; 115803
Сотрудник 3: Алексеев Матвей Юрьевич; IT-отдел; Экспедитор по перевозке грузов; 243234
Сотрудник 4: Алексеева Арина Руслановна; IT-отдел; Техник по труду; 394168
Сотрудник 5: Андреев Дмитрий Захарович; IT-отдел; Начальник отдела контроля качества; 493765
Сотрудник 6: Андреев Михаил Филиппович; IT-отдел; Бухгалтер-ревизор; 355110
Сотрудник 7: Андреев Платон Андреевич; IT-отдел; Инженер по инвентаризации строений и сооружений; 199052
Сотрудник 8: Андреева Дарья Марковна; IT-отдел; Биржевой маклер; 385259
Сотрудник 9: Андреева Елена Артёмовна; IT-отдел; Корпоративный секретарь акционерного общества; 107005
Сотрудник 10: Анисимов Арсений Дмитриевич; IT-отдел; Начальник (руководитель) бригады (группы); 190486
Сотрудник 11: Антипов Владислав Кириллович; IT-отдел; Техник; 243603
Сотрудник 12: Антипова Анастасия Тимофеевна; IT-отдел; Инженер по охране окружающей среды (эколог); 451935
Сотрудник 13: Артемова Елена Львовна; IT-отдел; Калькулятор; 408326
Сотрудник 14: Архипова Анастасия Александровна; IT-отдел; Директор гостиницы; 163300
Сотрудник 15: Афанасьев Иван Максимович; IT-отдел; Заведующий фотолабораторией; 302082
Сотрудник 16: Афанасьев Тимур Алексеевич; IT-отдел; Начальник (руководитель) бригады (группы); 389287
Сотрудник 17: Балашов Савва Ильич; IT-отдел; Начальник гаража; 287819
Сотрудник 18: Балашов Савва Ильич; IT-отдел; Инженер по организации труда; 365499
Сотрудник 19: Балашова Алиса Максимовна; IT-отдел; Заведующий фотолабораторией; 269653
Сотрудник 20: Балашова Елизавета Александровна; IT-отдел; Младший редактор; 123583
Сотрудник 21: Балашова Елизавета Александровна; IT-отдел; Нарядчик; 404222
Сотрудник 22: Белов Иван Максимович; IT-отдел; Калькулятор; 376248
Сотрудник 23: Беляев Даниил Ярославович; IT-отдел; Заведующий конструкторским отделом; 128408
Сотрудник 24: Бирюкова Алёна Денисовна; IT-отдел; Экономист по сбыту; 431554
Сотрудник 25: Богомолова София Тимуровна; IT-отдел; Начальник цеха (участка); 418225
Сотрудник 26: Борисов Александр Елисеевич; IT-отдел; Техник-конструктор; 208502
Сотрудник 27: Борисова Анна Андреевна; IT-отдел; Ученый секретарь; 219696
Сотрудник 28: Борисова Полина Артёмовна; IT-отдел; Экономист по материально-техническому снабжению; 260899
Сотрудник 29: Бычков Тимофей Ильич; IT-отдел; Начальник лаборатории (бюро) по организации труда и управления производством; 221671
Сотрудник 30: Бычков Тимофей Ильич; IT-отдел; Производитель работ (прораб); 417886
Сотрудник 31: Вавилов Юрий Михайлович; IT-отдел; Главный метролог; 484718
Сотрудник 32: Васильев Андрей Михайлович; IT-отдел; Начальник производственного отдела; 319757
Сотрудник 33: Васильев Кирилл Вадимович; IT-отдел; Заведующий чертежно-копировальным бюро; 149885
Сотрудник 34: Васильев Кирилл Вадимович; IT-отдел; Начальник исследовательской лаборатории; 193508
Сотрудник 35: Васильев Кирилл Вадимович; IT-отдел; Заведующий (начальник) отделом научно-технической информации; 336402
Сотрудник 36: Васильев Никита Всеволодович; IT-отдел; Начальник отдела кадров; 105751
Сотрудник 37: Вешняков Глеб Семёнович; IT-отдел; Технический редактор; 469413
Сотрудник 38: Волкова Полина Максимовна; IT-отдел; Заместитель директора по управлению персоналом; 440102
Сотрудник 39: Воробьева Милана Игоревна; IT-отдел; Инженер по стандартизации; 475677
Сотрудник 40: Гаврилова Елизавета Леонидовна; IT-отдел; Начальник отдела автоматизации и механизации производственных процессов; 326803
Сотрудник 41: Гаврилова Елизавета Леонидовна; IT-отдел; Начальник отдела комплектации оборудования; 402089
Сотрудник 42: Галкин Роберт Викторович; IT-отдел; Главный научный сотрудник; 166298
Сотрудник 43: Герасимов Тимур Кириллович; IT-отдел; Архитектор; 297390
Сотрудник 44: Герасимов Тимур Кириллович; IT-отдел; Техник по инструменту; 351557
Сотрудник 45: Горюнова Мария Арсеньевна; IT-отдел; Начальник автоколонны; 456745
Сотрудник 46: Григорьева Анастасия Захаровна; IT-отдел; Инженер по комплектации оборудования; 332413
Сотрудник 47: Денисова Дарья Ярославовна; IT-отдел; Техник-лаборант; 237208
Сотрудник 48: Дмитриева Злата Артемьевна; IT-отдел; Инженер-программист (программист); 284919
Сотрудник 49: Добрынин Матвей Александрович; IT-отдел; Заведующая машинописным бюро; 183132
Сотрудник 50: Долгов Владислав Дмитриевич; IT-отдел; Главный бухгалтер; 415675
Сотрудник 51: Евдокимова Лидия Константиновна; IT-отдел; Инженер-электроник (электроник); 348025
Сотрудник 52: Евдокимова Лидия Константиновна; IT-отдел; Художник; 353157
Сотрудник 53: Емельянов Григорий Кириллович; IT-отдел; Экспедитор; 437701
Сотрудник 54: Емельянова Маргарита Николаевна; IT-отдел; Техник вычислительного (информационно-вычислительного) центра; 370588
Сотрудник 55: Ермаков Максим Дмитриевич; IT-отдел; Эксперт; 490743
Сотрудник 56: Ерофеева Елена Ильинична; IT-отдел; Начальник инструментального отдела; 116413
Сотрудник 57: Жданова София Александровна; IT-отдел; Начальник нормативно-исследовательской лаборатории по труду; 427840
Сотрудник 58: Жуков Владимир Максимович; IT-отдел; Секретарь-стенографистка; 471407
Сотрудник 59: Журавлев Пётр Егорович; IT-отдел; Инспектор по контролю за исполнением поручений; 145496
Сотрудник 60: Журавлева Виктория Тимофеевна; IT-отдел; Заведующий жилым корпусом пансионата (гостиницы); 433248
Сотрудник 61: Зайцева Анна Глебовна; IT-отдел; Начальник центральной заводской лаборатории; 285566
Сотрудник 62: Захаров Артём Русланович; IT-отдел; Ведущий экономист; 195882
Сотрудник 63: Захаров Никита Константинович; IT-отдел; Главный специалист по защите информации; 470607
Сотрудник 64: Захарова Екатерина Германовна; IT-отдел; Главный метролог; 367116
Сотрудник 65: Золотов Егор Михайлович; IT-отдел; Начальник нормативно-исследовательской лаборатории по труду; 188279
Сотрудник 66: Зотов Макар Тимурович; IT-отдел; Техник по защите информации; 147286
Сотрудник 67: Зотов Макар Тимурович; IT-отдел; Эксперт по промышленной безопасности подъемных сооружений; 155668
Сотрудник 68: Зотов Макар Тимурович; IT-отдел; Директор (начальник) учреждения (организации); 447708
Сотрудник 69: Зубкова Полина Тимуровна; IT-отдел; Начальник отдела (лаборатории, сектора) по защите информации; 162863
Сотрудник 70: Иванов Александр Вячеславович; IT-отдел; Специалист по связям с общественностью; 261465
Сотрудник 71: Иванов Артём Романович; IT-отдел; Заместитель директора по капитальному строительству; 286252
Сотрудник 72: Иванов Владимир Глебович; IT-отдел; Инженер по инструменту; 455908
