Сотрудник 1: Абрамова Яна Михайловна; IT-отдел; Инкассатор; 126668
Сотрудник 2: Абрамова Яна Михайловна; IT-отдел; Агент страховой; 371543
Сотрудник 3: Аксенова Ульяна Дмитриевна; IT-отдел; Архитектор; 304315
Сотрудник 4: Александрова Алина Лукинична; IT-отдел; Ведущий научный сотрудник; 135154
Сотрудник 5: Александрова Алина Лукинична; IT-отдел; Заведующий (начальник) планово-экономическим отделом; 254809
Сотрудник 6: Александрова Елизавета Артёмовна; IT-отдел; Бухгалтер; 239520
Сотрудник 7: Александрова София Лукинична; IT-отдел; Заведующий конструкторским отделом; 169639
Сотрудник 8: Александрова София Лукинична; IT-отдел; Научный редактор; 197761
Сотрудник 9: Алексеев Михаил Робертович; IT-отдел; Художник; 385109
Сотрудник 10: Алексеева Арина Руслановна; IT-отдел; Заместитель директора по капитальному строительству; 362450
Сотрудник 11: Алешин Мирон Маркович; IT-отдел; Начальник отдела маркетинга; 232513
Сотрудник 12: Алешина Владислава Дмитриевна; IT-отдел; Главный технолог; 411462
Сотрудник 13: Андреев Дмитрий Захарович; IT-отдел; Биржевой маклер; 334136
Сотрудник 14: Андреева Дарья Марковна; IT-отдел; Ассистент инспектора фонда; 100549
Сотрудник 15: Афанасьев Лев Миронович; IT-отдел; Заведующий (начальник) отделом кадров; 425450
Сотрудник 16: Баранова Виктория Артёмовна; IT-отдел; Эксперт по промышленной безопасности подъемных сооружений; 210145
Сотрудник 17: Баранова Елизавета Дмитриевна; IT-отдел; Переводчик синхронный; 235275
Сотрудник 18: Баранова Милана Александровна; IT-отдел; Руководитель подразделения; 172196
Сотрудник 19: Баранова Милана Александровна; IT-отдел; Аудитор; 327789
Сотрудник 20: Басова Валерия Львовна; IT-отдел; Коммивояжер; 184797
Сотрудник 21: Басова Валерия Львовна; IT-отдел; Младший редактор; 386237
Сотрудник 22: Беспалов Фёдор Сергеевич; IT-отдел; Статистик; 246158
Сотрудник 23: Блинова Ева Марковна; IT-отдел; Секретарь - машинистка; 150570
Сотрудник 24: Богданов Владимир Тимофеевич; IT-отдел; Главный редактор; 420313
Сотрудник 25: Богданова Милана Алексеевна; IT-отдел; Начальник отдела автоматизированной системы управления производством; 418503
Сотрудник 26: Борисов Григорий Викторович; IT-отдел; Заместитель директора по капитальному строительству; 153784
Сотрудник 27: Борисов Григорий Викторович; IT-отдел; Главный диспетчер; 355659
Сотрудник 28: Борисов Григорий Викторович; IT-отдел; Экономист по планированию; 365862
Сотрудник 29: Булатов Алексей Маркович; IT-отдел; Главный бухгалтер; 489177
Сотрудник 30: Быкова Юлия Макаровна; IT-отдел; Главный инженер; 407333
Сотрудник 31: Вавилов Никита Маркович; IT-отдел; Администратор; 303826
Сотрудник 32: Вавилов Юрий Михайлович; IT-отдел; Инженер по метрологии; 339591
Сотрудник 33: Васильев Даниил Маркович; IT-отдел; Диспетчер; 473451
Сотрудник 34: Васильева Арина Петровна; IT-отдел; Начальник центральной заводской лаборатории; 326288
Сотрудник 35: Вешняков Глеб Семёнович; IT-отдел; Главный метролог; 353091
Сотрудник 36: Волков Алексей Арсеньевич; IT-отдел; Главный научный сотрудник; 386711
Сотрудник 37: Воробьев Владислав Андреевич; IT-отдел; Начальник (заведующий) мастерской; 388976
Сотрудник 38: Воробьева Валерия Георгиевна; IT-отдел; Начальник отдела социального развития; 499201
Сотрудник 39: Воробьева Виктория Григорьевна; IT-отдел; Начальник отдела кадров; 259722
Сотрудник 40: Воробьева Милана Игоревна; IT-отдел; Менеджер по связям с общественностью; 304286
Сотрудник 41: Воронцова Алина Максимовна; IT-отдел; Методист по физической культуре; 290533
Сотрудник 42: Герасимов Константин Максимович; IT-отдел; Специалист по промышленной безопасности подъемных сооружений; 254157
Сотрудник 43: Герасимова Алиса Кирилловна; IT-отдел; Профконсультант; 272607
Сотрудник 44: Голубев Николай Михайлович; IT-отдел; Заведующий складом; 145987
Сотрудник 45: Гончаров Дмитрий Львович; IT-отдел; Начальник отдела стандартизации; 248833
Сотрудник 46: Гордеева Алиса Данииловна; IT-отдел; Производитель работ (прораб); 421509
Сотрудник 47: Горелов Ярослав Даниилович; IT-отдел; Экономист по труду; 350320
Сотрудник 48: Горшкова Вероника Егоровна; IT-отдел; Агент коммерческий; 191027
Сотрудник 49: Горшкова Вероника Егоровна; IT-отдел; Техник по стандартизации; 495825
Сотрудник 50: Горюнова Екатерина Никитична; IT-отдел; Выпускающий; 279112
Сотрудник 51: Грачева Анна Александровна; IT-отдел; Инженер по охране труда; 104218
Сотрудник 52: Грачева Анна Александровна; IT-отдел; Ведущий научный сотрудник; 246080
Сотрудник 53: Грачева Елизавета Михайловна; IT-отдел; Экономист; 221299
Сотрудник 54: Григорьев Александр Артёмович; IT-отдел; Техник; 337672
Сотрудник 55: Григорьев Артём Александрович; IT-отдел; Техник по инструменту; 475458
Сотрудник 56: Григорьева Ирина Владимировна; IT-отдел; Инженер-технолог (технолог); 219522
Сотрудник 57: Громов Даниил Матвеевич; IT-отдел; Аукционист; 415072
Сотрудник 58: Гуляева Екатерина Артёмовна; IT-отдел; Инженер по автоматизации и механизации производственных процессов; 331454
Сотрудник 59: Давыдов Артём Александрович; IT-отдел; Аудитор; 258586
Сотрудник 60: Давыдов Илья Константинович; IT-отдел; Начальник отдела сбыта; 382944
Сотрудник 61: Денисов Артём Никитич; IT-отдел; Техник-лаборант; 454106
Сотрудник 62: Денисова Елизавета Романовна; IT-отдел; Начальник центральной заводской лаборатории; 139616
Сотрудник 63: Денисова Елизавета Романовна; IT-отдел; Научный сотрудник; 220399
Сотрудник 64: Добрынин Матвей Александрович; IT-отдел; Художник; 254365
Сотрудник 65: Долгова Дарья Ярославовна; IT-отдел; Брокер; 373441
Сотрудник 66: Егоров Матвей Матвеевич; IT-отдел; Экономист по труду; 344316
Сотрудник 67: Егорова Анна Михайловна; IT-отдел; Директор котельной; 224664
Сотрудник 68: Елисеева Евгения Артёмовна; IT-отдел; Инженер по комплектации оборудования; 158171
Сотрудник 69: Емельянов Платон Фёдорович; IT-отдел; Хронометражист; 284884
Сотрудник 70: Ермилов Андрей Гордеевич; IT-отдел; Главный редактор; 324655
Сотрудник 71: Ефремова Ксения Егоровна; IT-отдел; Менеджер по связям с инвесторами; 291619
Сотрудник 72: Жуков Владимир Максимович; IT-отдел; Заведующий чертежно-копировальным бюро; 215659
Сотрудник 73: Жуков Степан Максимович; IT-отдел; Начальник отдела комплектации оборудования; 110032
