Сотрудник 1: Андреева Дарья Марковна; IT-отдел; Редактор; 499537
Сотрудник 2: Демина Дарья Александровна; IT-отдел; Начальник гаража; 236445
Сотрудник 3: Ермакова Ева Степановна; IT-отдел; Чертежник-конструктор; 308972
Сотрудник 4: Жуков Иван Константинович; IT-отдел; Техник по инструменту; 242853
Сотрудник 5: Иванова Арина Григорьевна; IT-отдел; Главный механик; 238732
Сотрудник 6: Казакова Александра Михайловна; IT-отдел; Шеф-инженер; 357227
Сотрудник 7: Козлов Михаил Владимирович; IT-отдел; Инкассатор; 363152
Сотрудник 8: Кузьмина Ангелина Ильинична; IT-отдел; Калькулятор; 419923
Сотрудник 9: Ларионов Илья Артёмович; IT-отдел; Финансовый директор (заместитель директора по финансам); 215855
Сотрудник 10: Лебедев Артём Петрович; IT-отдел; Заведующий (начальник) отделом кадров; 190867
Сотрудник 11: Медведев Даниил Григорьевич; IT-отдел; Инженер по наладке и испытаниям; 221374
Сотрудник 12: Мельников Матвей Всеволодович; IT-отдел; Ведущий экономист; 452213
Сотрудник 13: Пастухов Артемий Вадимович; IT-отдел; Аналитик; 186890
Сотрудник 14: Рябова София Фёдоровна; IT-отдел; Заведующий техническим архивом; 224702
Сотрудник 15: Фомин Степан Иванович; IT-отдел; Начальник отдела социального развития; 163012
Сотрудник 16: Александрова Алина Лукинична; PR-отдел; Начальник технического отдела; 324245
Сотрудник 17: Борисова Полина Артёмовна; PR-отдел; Директор по связям с инвесторами; 286860
Сотрудник 18: Бочаров Егор Тимурович; PR-отдел; Дежурный (по выдаче справок, залу, этажу гостиницы, комнате отдыха, общежитию и др.); 401150
Сотрудник 19: Власова Полина Данииловна; PR-отдел; Заведующий научно-технической библиотекой; 145379
Сотрудник 20: Власова Полина Данииловна; PR-отдел; Машинистка; 390484
Сотрудник 21: Грачева Елизавета Михайловна; PR-отдел; Начальник отдела стандартизации; 376004
Сотрудник 22: Зуева Вера Арсеньевна; PR-отдел; Главный метролог; 382665
Сотрудник 23: Иванов Артём Иванович; PR-отдел; Начальник отдела материально-технического снабжения; 232053
Сотрудник 24: Колесников Лев Янович; PR-отдел; Начальник производственной лаборатории (по контролю производства); 232091
Сотрудник 25: Маркова Дарина Львовна; PR-отдел; Начальник планово - экономического отдела; 399443
Сотрудник 26: Моисеев Тимофей Маркович; PR-отдел; Инженер по наладке и испытаниям; 121926
Сотрудник 27: Наумова София Демидовна; PR-отдел; Старший научный сотрудник; 117109
Сотрудник 28: Орлов Даниил Мирославович; PR-отдел; Дилер; 439468
Сотрудник 29: Серов Иван Григорьевич; PR-отдел; Инспектор по кадрам; 478366
Сотрудник 30: Смирнов Александр Глебович; PR-отдел; Переводчик-дактилолог; 307143
Сотрудник 31: Смирнов Леонид Романович; PR-отдел; Заместитель директора по связям с общественностью; 316877
Сотрудник 32: Соколов Владимир Маркович; PR-отдел; Социолог; 209596
Сотрудник 33: Белов Роберт Даниилович; Администрация; Специалист по промышленной безопасности подъемных сооружений; 356337
Сотрудник 34: Волков Алексей Арсеньевич; Администрация; Агент по продаже недвижимости; 391666
Сотрудник 35: Глебов Платон Дмитриевич; Администрация; Специалист по защите информации; 178406
Сотрудник 36: Гончарова Анастасия Макаровна; Администрация; Инспектор фонда; 358818
Сотрудник 37: Гончарова Анастасия Макаровна; Администрация; Инженер по охране окружающей среды (эколог); 422236
Сотрудник 38: Данилова Ксения Тимофеевна; Администрация; Заведующий конструкторским отделом; 134630
Сотрудник 39: Дементьева Мария Мирославовна; Администрация; Начальник гаража; 227512
Сотрудник 40: Кононова Таисия Никитична; Администрация; Дежурный (по выдаче справок, залу, этажу гостиницы, комнате отдыха, общежитию и др.); 236471
Сотрудник 41: Котова Василиса Васильевна; Администрация; Делопроизводитель; 160894
Сотрудник 42: Кузнецова Татьяна Артемьевна; Администрация; Специалист по автотехнической экспертизе (эксперт-автотехник); 245452
