Сотрудник 1: Андреев Иван Егорович; IT-отдел; Начальник (руководитель) бригады (группы); 269866
Сотрудник 2: Белоусов Иван Матвеевич; IT-отдел; Менеджер; 263672
Сотрудник 3: Борисов Юрий Тимофеевич; IT-отдел; Заведующий экспедицией; 210593
Сотрудник 4: Борисова Анна Андреевна; IT-отдел; Инструктор-дактилолог; 200648
Сотрудник 5: Васильева София Михайловна; IT-отдел; Главный инженер; 428275
Сотрудник 6: Власова Полина Данииловна; IT-отдел; Главный редактор; 480345
Сотрудник 7: Громова Злата Артёмовна; IT-отдел; Начальник отдела патентной и изобретательской работы; 466382
Сотрудник 8: Данилов Артём Всеволодович; IT-отдел; Стенографистка; 104080
Сотрудник 9: Захаров Артём Русланович; IT-отдел; Ландшафтный архитектор; 183383
Сотрудник 10: Захаров Никита Константинович; IT-отдел; Агент страховой; 396592
Сотрудник 11: Кожевников Иван Тимофеевич; IT-отдел; Инженер по охране окружающей среды (эколог); 286636
Сотрудник 12: Кондратьева Мирослава Максимовна; IT-отдел; Управляющий отделением (фермой, сельскохозяйственным участком); 370750
Сотрудник 13: Литвинов Артём Ильич; IT-отдел; Художественный редактор; 164280
Сотрудник 14: Литвинова Анастасия Богдановна; IT-отдел; Начальник нормативно-исследовательской лаборатории по труду; 453058
Сотрудник 15: Макаров Андрей Русланович; IT-отдел; Инженер по стандартизации; 379336
Сотрудник 16: Маркова Дарина Львовна; IT-отдел; Техник по стандартизации; 123625
Сотрудник 17: Морозова Александра Мирославовна; IT-отдел; Заведующий аспирантурой; 436505
Сотрудник 18: Нестерова Полина Марковна; IT-отдел; Заместитель директора по управлению персоналом; 120625
Сотрудник 19: Пастухова Мария Георгиевна; IT-отдел; Инженер-энергетик (энергетик); 168480
Сотрудник 20: Петров Глеб Ярославович; IT-отдел; Инженер; 436797
Сотрудник 21: Сергеева Анастасия Максимовна; IT-отдел; Техник по труду; 472385
Сотрудник 22: Соболева Дарья Егоровна; IT-отдел; Начальник производственной лаборатории (по контролю производства); 342249
Сотрудник 23: Софронова Марина Фёдоровна; IT-отдел; Чертежник-конструктор; 105993
Сотрудник 24: Софронова Марина Фёдоровна; IT-отдел; Инженер по нормированию труда; 408910
Сотрудник 25: Устинова Елизавета Львовна; IT-отдел; Переводчик синхронный; 331336
Сотрудник 26: Федоров Никита Сергеевич; IT-отдел; Заведующий складом; 442781
Сотрудник 27: Федоров Никита Сергеевич; IT-отдел; Начальник отдела социального развития; 446751
Сотрудник 28: Фомин Степан Иванович; IT-отдел; Главный механик; 237897
Сотрудник 29: Харитонова Валерия Романовна; IT-отдел; Табельщик; 441228
Сотрудник 30: Шевцов Сергей Денисович; IT-отдел; Переводчик; 334495
Сотрудник 31: Шубина Василиса Денисовна; IT-отдел; Директор (генеральный директор, управляющий) предприятия; 241515
Сотрудник 32: Алексеева Арина Руслановна; PR-отдел; Начальник отдела по связям с общественностью; 492224
