Сотрудник 1: Александрова София Лукинична; IT-отдел; Главный редактор; 354936
Сотрудник 2: Андреева Валерия Никитична; IT-отдел; Менеджер по связям с общественностью; 272022
Сотрудник 3: Белякова Злата Степановна; IT-отдел; Научный редактор; 132496
Сотрудник 4: Богомолова София Тимуровна; IT-отдел; Стенографистка; 355628
Сотрудник 5: Васильева Алиса Кирилловна; IT-отдел; Главный научный сотрудник; 468880
Сотрудник 6: Галкин Роберт Викторович; IT-отдел; Заведующий общежитием; 474984
Сотрудник 7: Лебедева Вероника Андреевна; IT-отдел; Товаровед; 364182
Сотрудник 8: Маркова Дарина Львовна; IT-отдел; Ведущий конструктор; 466923
Сотрудник 9: Михайлов Даниил Даниилович; IT-отдел; Научный сотрудник; 420963
Сотрудник 10: Назарова Арина Ивановна; IT-отдел; Агент коммерческий; 421407
Сотрудник 11: Некрасова Виктория Львовна; IT-отдел; Машинистка; 238139
Сотрудник 12: Никитина Нина Константиновна; IT-отдел; Заведующий камерой хранения; 139014
Сотрудник 13: Петров Даниил Александрович; IT-отдел; Диспетчер; 462108
Сотрудник 14: Петрова Таисия Михайловна; IT-отдел; Инженер по научно-технической информации; 226926
Сотрудник 15: Харитонова Валерия Романовна; IT-отдел; Экономист по труду; 165268
Сотрудник 16: Чистяков Михаил Андреевич; IT-отдел; Начальник цеха (участка); 446986
Сотрудник 17: Блинова Ева Марковна; PR-отдел; Архитектор; 178915
Сотрудник 18: Григорьева Ирина Владимировна; PR-отдел; Экономист по сбыту; 470644
Сотрудник 19: Гришин Роман Маркович; PR-отдел; Консультант по налогам и сборам; 167524
Сотрудник 20: Данилов Лука Даниилович; PR-отдел; Начальник лаборатории (бюро) по организации труда и управления производством; 121962
Сотрудник 21: Данилов Лука Даниилович; PR-отдел; Диспетчер; 151813
Сотрудник 22: Ерофеев Кирилл Всеволодович; PR-отдел; Специалист по оценке соответствия лифтов требованиям безопасности; 134716
Сотрудник 23: Зорина Валерия Артемьевна; PR-отдел; Директор (генеральный директор, управляющий) предприятия; 383660
Сотрудник 24: Козлова Алиса Марковна; PR-отдел; Менеджер; 415592
Сотрудник 25: Крылов Владимир Константинович; PR-отдел; Научный редактор; 362806
Сотрудник 26: Кулаков Тихон Кириллович; PR-отдел; Ведущий научный сотрудник; 449561
Сотрудник 27: Малахов Алексей Мирославович; PR-отдел; Заведующий чертежно-копировальным бюро; 124857
Сотрудник 28: Михайлов Артём Дмитриевич; PR-отдел; Научный сотрудник; 134514
Сотрудник 29: Михайлова София Викторовна; PR-отдел; Начальник отдела сбыта; 349907
Сотрудник 30: Морозова Мария Романовна; PR-отдел; Заведующий аспирантурой; 282519
Сотрудник 31: Никонова Варвара Матвеевна; PR-отдел; Ассистент инспектора фонда; 382666
Сотрудник 32: Павлова Дарина Артёмовна; PR-отдел; Начальник лаборатории (бюро) технико - экономических исследований; 364615
Сотрудник 33: Сизова Александра Ильинична; PR-отдел; Менеджер по персоналу; 124031
Сотрудник 34: Степанова Ева Максимовна; PR-отдел; Художник; 313787
Сотрудник 35: Тихомиров Иван Тимофеевич; PR-отдел; Инженер по надзору за строительством; 220206
Сотрудник 36: Трифонова Ольга Викторовна; PR-отдел; Эксперт; 269783
Сотрудник 37: Ульянов Александр Максимович; PR-отдел; Бухгалтер-ревизор; 151786
Сотрудник 38: Харитонов Денис Владимирович; PR-отдел; Социолог; 214213
Сотрудник 39: Цветков Александр Сергеевич; PR-отдел; Экономист по бухгалтерскому учету и анализу хозяйственной деятельности; 353030
Сотрудник 40: Широков Даниил Александрович; PR-отдел; Агент по продаже недвижимости; 427775
Сотрудник 41: Алексеев Матвей Юрьевич; Администрация; Заместитель директора по управлению персоналом; 170069
Сотрудник 42: Борисова Ульяна Евгеньевна; Администрация; Начальник отдела социального развития; 195505
Сотрудник 43: Васильев Даниил Маркович; Администрация; Заместитель директора (начальника) учреждения (организации) по научной работе. Главный инженер учреждения (организации); 453398
Сотрудник 44: Васильев Михаил Андреевич; Администрация; Заместитель директора по капитальному строительству; 192736
Сотрудник 45: Васильева Анна Андреевна; Администрация; Экономист; 156905
Сотрудник 46: Воробьева Виктория Григорьевна; Администрация; Заведующий (начальник) отделом стандартизации; 348298
Сотрудник 47: Грачев Даниил Матвеевич; Администрация; Инженер по организации труда; 196478
Сотрудник 48: Григорьев Артемий Макарович; Администрация; Заведующий аспирантурой; 478594
Сотрудник 49: Гусев Семён Владиславович; Администрация; Ведущий экономист; 313040
Сотрудник 50: Дмитриев Кирилл Степанович; Администрация; Инкассатор; 476955
Сотрудник 51: Жданова София Александровна; Администрация; Начальник производственной лаборатории (по контролю производства); 395855
Сотрудник 52: Иванов Роман Александрович; Администрация; Заведующий канцелярией; 232440
Сотрудник 53: Иванова Милана Марковна; Администрация; Инженер-программист (программист); 269822
Сотрудник 54: Игнатов Андрей Михайлович; Администрация; Заведующий общежитием; 202728
Сотрудник 55: Казакова Виктория Андреевна; Администрация; Товаровед; 316072
Сотрудник 56: Кочетова Полина Дмитриевна; Администрация; Профконсультант; 240707
Сотрудник 57: Кудряшова Алиса Арсеньевна; Администрация; Учетчик; 229206
Сотрудник 58: Лебедев Артём Петрович; Администрация; Социолог; 439740
Сотрудник 59: Лебедева Виктория Александровна; Администрация; Мастер участка; 195492
Сотрудник 60: Макаров Алексей Богданович; Администрация; Заведующий канцелярией; 398659
Сотрудник 61: Макарова Анастасия Михайловна; Администрация; Начальник отдела стандартизации; 226196
Сотрудник 62: Максимов Павел Никитич; Администрация; Аналитик; 408309
Сотрудник 63: Матвеева Анастасия Захаровна; Администрация; Начальник лаборатории (бюро) по организации труда и управления производством; 236042
Сотрудник 64: Морозов Юрий Семёнович; Администрация; Агент по снабжению; 250315
Сотрудник 65: Осипова Вероника Михайловна; Администрация; Стенографистка; 127529
Сотрудник 66: Пименов Лев Тимурович; Администрация; Старший научный сотрудник; 147042
Сотрудник 67: Румянцев Антон Миронович; Администрация; Заведующий хозяйством; 349238
Сотрудник 68: Савельев Владимир Максимович; Администрация; Техник по защите информации; 295787
Сотрудник 69: Семенов Марк Егорович; Администрация; Директор котельной; 233535
Сотрудник 70: Соболева Дарья Егоровна; Администрация; Агент коммерческий; 101346
Сотрудник 71: Суркова Алиса Денисовна; Администрация; Кассир; 164746
Сотрудник 72: Устинов Максим Григорьевич; Администрация; Инженер по научно-технической информации; 161823
Сотрудник 73: Яковлев Тимур Александрович; Администрация; Научный сотрудник; 187172
Сотрудник 74: Блинова Ева Марковна; Аналитический отдел; Управляющий отделением (фермой, сельскохозяйственным участком); 389906
Сотрудник 75: Васильев Даниил Артёмович; Аналитический отдел; Дежурный бюро пропусков; 269262
Сотрудник 76: Васильева Полина Ярославовна; Аналитический отдел; Агент по продаже недвижимости; 267866
Сотрудник 77: Воронцова Алина Максимовна; Аналитический отдел; Инженер по автоматизированным системам управления производством; 144054
Сотрудник 78: Глебов Платон Дмитриевич; Аналитический отдел; Директор типографии; 468068
Сотрудник 79: Григорьева Анастасия Захаровна; Аналитический отдел; Техник по труду; 453854
Сотрудник 80: Громов Даниил Матвеевич; Аналитический отдел; Начальник гаража; 342684
Сотрудник 81: Гусева Вера Савельевна; Аналитический отдел; Начальник хозяйственного отдела; 229703
Сотрудник 82: Дегтярев Макар Даниилович; Аналитический отдел; Художник; 110800
Сотрудник 83: Егорова Анна Михайловна; Аналитический отдел; Машинистка; 144218
Сотрудник 84: Ермилов Андрей Гордеевич; Аналитический отдел; Начальник юридического отдела; 247302
Сотрудник 85: Иванова Ксения Филиповна; Аналитический отдел; Комендант; 378833
Сотрудник 86: Ильин Серафим Леонидович; Аналитический отдел; Делопроизводитель; 188163
Сотрудник 87: Казанцев Андрей Адамович; Аналитический отдел; Бухгалтер-ревизор; 264042
Сотрудник 88: Калинин Кирилл Дмитриевич; Аналитический отдел; Менеджер по персоналу; 269117
Сотрудник 89: Кондратьев Кирилл Егорович; Аналитический отдел; Заведующий техническим архивом; 436295
Сотрудник 90: Короткова Мария Гордеевна; Аналитический отдел; Выпускающий; 260923
Сотрудник 91: Кошелева Вера Богдановна; Аналитический отдел; Техник по труду; 353894
Сотрудник 92: Крылова Мирослава Глебовна; Аналитический отдел; Начальник отдела сбыта; 172165
Сотрудник 93: Кузнецова Василиса Алексеевна; Аналитический отдел; Переводчик-дактилолог; 102238
Сотрудник 94: Ларионов Егор Даниилович; Аналитический отдел; Бухгалтер-ревизор; 226326
Сотрудник 95: Ларионов Илья Артёмович; Аналитический отдел; Дежурный (по выдаче справок, залу, этажу гостиницы, комнате отдыха, общежитию и др.); 336173
