Сотрудник 1: Акимов Ярослав Владиславович; IT-отдел; Агент по снабжению; 297256
Сотрудник 2: Бочаров Егор Тимурович; IT-отдел; Инкассатор; 452208
Сотрудник 3: Булатов Михаил Михайлович; IT-отдел; Главный конструктор проекта; 221063
Сотрудник 4: Головина Таисия Александровна; IT-отдел; Директор по связям с инвесторами; 245596
Сотрудник 5: Злобин Михаил Фёдорович; IT-отдел; Инженер по стандартизации; 282022
Сотрудник 6: Золотов Егор Михайлович; IT-отдел; Экспедитор; 157778
Сотрудник 7: Иванов Егор Михайлович; IT-отдел; Ведущий экономист; 184919
Сотрудник 8: Иванова Ксения Филиповна; IT-отдел; Переводчик-дактилолог; 121998
Сотрудник 9: Краснов Мирон Артёмович; IT-отдел; Директор типографии; 434961
Сотрудник 10: Левин Илья Степанович; IT-отдел; Специалист по промышленной безопасности подъемных сооружений; 385627
Сотрудник 11: Макеева Ева Данииловна; IT-отдел; Хронометражист; 108377
Сотрудник 12: Михайлов Даниил Даниилович; IT-отдел; Директор (генеральный директор, управляющий) предприятия; 460909
Сотрудник 13: Потапов Всеволод Иванович; IT-отдел; Техник вычислительного (информационно-вычислительного) центра; 305105
Сотрудник 14: Потапова Полина Ильинична; IT-отдел; Табельщик; 161741
Сотрудник 15: Романова Маргарита Артёмовна; IT-отдел; Математик; 126186
Сотрудник 16: Рыжов Егор Владимирович; IT-отдел; Экономист по бухгалтерскому учету и анализу хозяйственной деятельности; 313049
Сотрудник 17: Савельева Ольга Юрьевна; IT-отдел; Начальник отдела контроля качества; 274978
Сотрудник 18: Соколова Ева Максимовна; IT-отдел; Агент страховой; 203692
Сотрудник 19: Спиридонова София Марковна; IT-отдел; Инструктор-дактилолог; 175488
Сотрудник 20: Харитонова Валерия Романовна; IT-отдел; Инженер по охране окружающей среды (эколог); 432745
Сотрудник 21: Царева Анастасия Артёмовна; IT-отдел; Начальник отдела сбыта; 401698
Сотрудник 22: Черных Владимир Семёнович; IT-отдел; Директор типографии; 461051
Сотрудник 23: Чернышева Мария Данииловна; IT-отдел; Начальник отдела информации; 367268
Сотрудник 24: Агеев Демид Богданович; PR-отдел; Заведующий жилым корпусом пансионата (гостиницы); 307482
Сотрудник 25: Артамонов Даниил Иванович; PR-отдел; Биржевой маклер; 242206
Сотрудник 26: Артамонов Даниил Иванович; PR-отдел; Начальник отдела кадров; 440464
Сотрудник 27: Булатова Анна Михайловна; PR-отдел; Производитель работ (прораб); 125171
Сотрудник 28: Васильев Андрей Михайлович; PR-отдел; Консультант по налогам и сборам; 204769
Сотрудник 29: Васильев Николай Матвеевич; PR-отдел; Статистик; 248979
Сотрудник 30: Воронина Александра Никитична; PR-отдел; Специалист по маркетингу; 316610
Сотрудник 31: Горелов Ярослав Даниилович; PR-отдел; Агент торговый; 283821
Сотрудник 32: Громова Злата Артёмовна; PR-отдел; Математик; 245546
Сотрудник 33: Гусев Дмитрий Игоревич; PR-отдел; Главный диспетчер; 309468
Сотрудник 34: Зеленин Александр Николаевич; PR-отдел; Заместитель директора по связям с общественностью; 481170
Сотрудник 35: Казакова Милана Ивановна; PR-отдел; Корпоративный секретарь акционерного общества; 369019
Сотрудник 36: Касьянова Екатерина Адамовна; PR-отдел; Копировщик; 393184
Сотрудник 37: Козлова Ольга Ивановна; PR-отдел; Специалист по связям с инвесторами; 381786
Сотрудник 38: Корчагин Леонид Кириллович; PR-отдел; Инспектор по контролю за исполнением поручений; 213236
Сотрудник 39: Котова Ирина Марковна; PR-отдел; Агент торговый; 152664
Сотрудник 40: Куликова Елизавета Кирилловна; PR-отдел; Начальник юридического отдела; 444616
Сотрудник 41: Лебедев Максим Ярославович; PR-отдел; Техник по наладке и испытаниям; 221998
Сотрудник 42: Левин Илья Степанович; PR-отдел; Художественный редактор; 363217
Сотрудник 43: Леонов Савва Кириллович; PR-отдел; Заведующий канцелярией; 294769
Сотрудник 44: Макарова Анастасия Михайловна; PR-отдел; Заведующий (начальник) отделом кадров; 328857
Сотрудник 45: Мальцева Кристина Викторовна; PR-отдел; Директор (начальник) учреждения (организации); 492717
Сотрудник 46: Морозов Кирилл Максимович; PR-отдел; Начальник отдела капитального строительства; 139405
Сотрудник 47: Никифоров Георгий Даниилович; PR-отдел; Главный бухгалтер; 376452
Сотрудник 48: Никифоров Марк Степанович; PR-отдел; Заведующий столовой; 260690
Сотрудник 49: Панфилов Алексей Владимирович; PR-отдел; Специалист по оценке соответствия лифтов требованиям безопасности; 498833
Сотрудник 50: Поликарпов Матвей Львович; PR-отдел; Техник-технолог; 479824
Сотрудник 51: Прокофьева Анна Романовна; PR-отдел; Заведующий техническим архивом; 110280
Сотрудник 52: Сизова Александра Ильинична; PR-отдел; Техник по инструменту; 151378
Сотрудник 53: Симонова София Данииловна; PR-отдел; Переводчик-дактилолог; 386448
Сотрудник 54: Соловьев Артемий Кириллович; PR-отдел; Заведующий научно-технической библиотекой; 109244
Сотрудник 55: Титов Марат Андреевич; PR-отдел; Чертежник; 168117
Сотрудник 56: Федорова Елизавета Павловна; PR-отдел; Заведующий техническим архивом; 243846
Сотрудник 57: Шувалов Иван Александрович; PR-отдел; Аудитор; 316067
Сотрудник 58: Балашова Елизавета Александровна; Администрация; Техник-проектировщик; 163482
Сотрудник 59: Бессонова Алиса Тимофеевна; Администрация; Менеджер по связям с инвесторами; 168059
Сотрудник 60: Быкова Юлия Макаровна; Администрация; Техник по защите информации; 417524
Сотрудник 61: Волков Артур Даниилович; Администрация; Начальник гаража; 215637
Сотрудник 62: Воронина Анастасия Андреевна; Администрация; Учетчик; 102280
Сотрудник 63: Воронов Адам Кириллович; Администрация; Инженер по подготовке кадров; 412233
Сотрудник 64: Гаврилов Лев Фёдорович; Администрация; Инженер по надзору за строительством; 275205
Сотрудник 65: Герасимова Алиса Кирилловна; Администрация; Учетчик; 202483
Сотрудник 66: Горшкова Вероника Егоровна; Администрация; Главный специалист в основном отделе (архитектурнопланировочной мастерской); 464329
Сотрудник 67: Зотова Кира Ярославовна; Администрация; Переводчик; 325774
Сотрудник 68: Иванов Святослав Олегович; Администрация; Директор типографии; 409658
Сотрудник 69: Ильин Серафим Леонидович; Администрация; Шеф-инженер; 250128
Сотрудник 70: Козлов Владимир Фёдорович; Администрация; Агент; 343166
Сотрудник 71: Корчагин Леонид Кириллович; Администрация; Экономист по сбыту; 497752
Сотрудник 72: Макарова Елизавета Марковна; Администрация; Мастер контрольный (участка, цеха); 124508
Сотрудник 73: Максимов Фёдор Маркович; Администрация; Начальник лаборатории (бюро) социологии труда; 152873
Сотрудник 74: Михайлова Полина Степановна; Администрация; Заведующий (начальник) отделом кадров; 368767
Сотрудник 75: Морозова Мария Романовна; Администрация; Инженер-электроник (электроник); 308655
Сотрудник 76: Орлова Арина Владиславовна; Администрация; Начальник (руководитель) бригады (группы); 403208
Сотрудник 77: Павлов Илья Серафимович; Администрация; (начальник) научноисследовательским сектором (лабораторией), входящим в состав научно - исследовательского отдела (отделения, лаборатории) института; 286972
Сотрудник 78: Павлова Ева Антоновна; Администрация; Ассистент инспектора фонда; 162810
Сотрудник 79: Полякова Диана Сергеевна; Администрация; Секретарь - машинистка; 242618
Сотрудник 80: Семенов Вячеслав Савельевич; Администрация; Копировщик; 434450
Сотрудник 81: Смирнова Варвара Владимировна; Администрация; Ландшафтный архитектор; 449103
Сотрудник 82: Соловьев Дмитрий Дмитриевич; Администрация; Секретарь незрячего специалиста; 429203
Сотрудник 83: Тихомиров Иван Тимофеевич; Администрация; Менеджер по связям с общественностью; 419374
Сотрудник 84: Устинова Елизавета Львовна; Администрация; (начальник) научноисследовательским сектором (лабораторией), входящим в состав научно - исследовательского отдела (отделения, лаборатории) института; 454507
Сотрудник 85: Федоров Даниил Михайлович; Администрация; Инженер по организации труда; 354236
Сотрудник 86: Федосова Мирослава Тихоновна; Администрация; Шеф-инженер; 136534
Сотрудник 87: Харитонов Мирон Захарович; Администрация; Экономист по договорной и претензионной работе; 424825
Сотрудник 88: Щербакова Кира Леоновна; Администрация; Начальник отдела контроля качества; 333132
Сотрудник 89: Анисимов Арсений Дмитриевич; Аналитический отдел; Главный научный сотрудник; 451967
Сотрудник 90: Баженова Ольга Кирилловна; Аналитический отдел; Агент страховой; 230730
Сотрудник 91: Белова Анастасия Вадимовна; Аналитический отдел; Переводчик синхронный; 304773
Сотрудник 92: Григорьев Артём Александрович; Аналитический отдел; Переводчик; 227452
Сотрудник 93: Егоров Матвей Матвеевич; Аналитический отдел; Экспедитор; 329196
Сотрудник 94: Еремина Елизавета Степановна; Аналитический отдел; Специалист по защите информации; 329056
Сотрудник 95: Золотова Кристина Артёмовна; Аналитический отдел; Специалист по маркетингу; 342966
Сотрудник 96: Иванова София Маратовна; Аналитический отдел; Мастер участка; 286251
Сотрудник 97: Королев Макар Матвеевич; Аналитический отдел; Начальник финансового отдела; 332186
Сотрудник 98: Кочетова Евгения Константиновна; Аналитический отдел; Лаборант; 263950
Сотрудник 99: Кошелев Максим Тимофеевич; Аналитический отдел; Эксперт по промышленной безопасности подъемных сооружений; 233239
Сотрудник 100: Крюкова Виктория Кирилловна; Аналитический отдел; Главный бухгалтер; 355371
Сотрудник 101: Лаврентьева Милана Андреевна; Аналитический отдел; Кассир; 450855
Сотрудник 102: Лаптев Платон Маркович; Аналитический отдел; Специалист по оценке соответствия лифтов требованиям безопасности; 380316
Сотрудник 103: Лебедев Дмитрий Вячеславович; Аналитический отдел; Биржевой маклер; 362361
Сотрудник 104: Лебедев Максим Ярославович; Аналитический отдел; Заведующий жилым корпусом пансионата (гостиницы); 301108
Сотрудник 105: Миронов Михаил Даниилович; Аналитический отдел; Инженер-технолог (технолог); 376907
Сотрудник 106: Михайлов Артём Егорович; Аналитический отдел; Начальник инструментального отдела; 414134
Сотрудник 107: Никитин Марк Игоревич; Аналитический отдел; Юрисконсульт; 429331
Сотрудник 108: Панин Станислав Саввич; Аналитический отдел; Заведующий фотолабораторией; 414691
Сотрудник 109: Парфенова Ксения Владимировна; Аналитический отдел; Заместитель директора по связям с общественностью; 451417
Сотрудник 110: Поляков Алексей Львович; Аналитический отдел; Главный научный сотрудник; 488122
Сотрудник 111: Попов Марк Александрович; Аналитический отдел; Руководитель подразделения; 490216
Сотрудник 112: Прокофьева Анна Романовна; Аналитический отдел; Ландшафтный архитектор; 392906
Сотрудник 113: Прохорова Варвара Степановна; Аналитический отдел; Экономист по договорной и претензионной работе; 157470
Сотрудник 114: Руднева София Кирилловна; Аналитический отдел; Консультант по налогам и сборам; 119272
Сотрудник 115: Савельева Ольга Юрьевна; Аналитический отдел; Заведующая машинописным бюро; 424638
Сотрудник 116: Самойлов Егор Макарович; Аналитический отдел; Экономист по планированию; 274115
Сотрудник 117: Семенова Мирослава Семёновна; Аналитический отдел; Специалист по защите информации; 478879
Сотрудник 118: Сергеева Вероника Германовна; Аналитический отдел; Инженер по инвентаризации строений и сооружений; 412797
Сотрудник 119: Терентьев Дмитрий Вячеславович; Аналитический отдел; Начальник производственного отдела; 134715
Сотрудник 120: Фадеева Мария Максимовна; Аналитический отдел; Заместитель директора (начальника) учреждения (организации) по научной работе. Главный инженер учреждения (организации); 187071
Сотрудник 121: Чернышева Юлия Вадимовна; Аналитический отдел; Заместитель директора по коммерческим вопросам; 281169
Сотрудник 122: Власова Полина Данииловна; Архив; Копировщик; 276663
Сотрудник 123: Волков Владимир Даниилович; Архив; Директор по связям с инвесторами; 318438
Сотрудник 124: Горшкова Вероника Егоровна; Архив; Товаровед; 481708
Сотрудник 125: Грачева Анна Александровна; Архив; Главный металлург; 258845
Сотрудник 126: Завьялова Ангелина Данииловна; Архив; Начальник ремонтного цеха; 120441
Сотрудник 127: Зотов Макар Тимурович; Архив; Калькулятор; 141386
Сотрудник 128: Иванов Святослав Олегович; Архив; Начальник отдела кадров; 215554
Сотрудник 129: Иванова Мария Тимуровна; Архив; Мастер контрольный (участка, цеха); 480148
Сотрудник 130: Калинина София Алексеевна; Архив; Заведующий бюро пропусков; 285402
Сотрудник 131: Ковалева Мария Богдановна; Архив; Начальник исследовательской лаборатории; 441840
Сотрудник 132: Козлова Виктория Ильинична; Архив; Эксперт; 319058
Сотрудник 133: Кочетков Лев Ильич; Архив; Главный бухгалтер; 455783
Сотрудник 134: Кузьмина Василиса Николаевна; Архив; Специалист по связям с общественностью; 306408
Сотрудник 135: Лебедев Павел Германович; Архив; Статистик; 114131
Сотрудник 136: Лебедев Фёдор Богданович; Архив; Методист по физической культуре; 261941
Сотрудник 137: Литвинова Валерия Данииловна; Архив; Директор (начальник) вычислительного (информационно - вычислительного) центра; 115520
Сотрудник 138: Мальцева Кристина Викторовна; Архив; Инженер по охране окружающей среды (эколог); 472819
Сотрудник 139: Миронова Ксения Сергеевна; Архив; Техник по инвентаризации строений и сооружений; 146700
Сотрудник 140: Михеев Вячеслав Егорович; Архив; Крупье; 145306
Сотрудник 141: Нефедова Маргарита Александровна; Архив; Инженер по комплектации оборудования; 467154
Сотрудник 142: Петрова Алиса Никитична; Архив; Психолог; 351198
Сотрудник 143: Петрова Екатерина Артёмовна; Архив; Заместитель директора (начальника) учреждения (организации) по научной работе. Главный инженер учреждения (организации); 237005
Сотрудник 144: Позднякова Олеся Всеволодовна; Архив; Инженер по ремонту; 185858
Сотрудник 145: Попова Вера Матвеевна; Архив; Главный научный сотрудник; 208994
Сотрудник 146: Прохорова Мария Максимовна; Архив; Главный ландшафтный архитектор проекта; 470280
Сотрудник 147: Рудакова София Степановна; Архив; Специалист по связям с инвесторами; 306848
Сотрудник 148: Рябов Кирилл Егорович; Архив; Техник по инвентаризации строений и сооружений; 362520
Сотрудник 149: Савельева Майя Дмитриевна; Архив; Брокер торговый; 362393
Сотрудник 150: Сидорова Вера Тимофеевна; Архив; Архивариус; 134437
Сотрудник 151: Смирнова Александра Артёмовна; Архив; Инженер по организации управления производством; 282351
Сотрудник 152: Сорокин Константин Алексеевич; Архив; Специалист по маркетингу; 190598
Сотрудник 153: Сотников Артём Иванович; Архив; Инженер по ремонту; 165614
Сотрудник 154: Степанова Арина Александровна; Архив; Делопроизводитель; 308446
Сотрудник 155: Тимофеева Василиса Марковна; Архив; Агент; 498388
Сотрудник 156: Филиппов Никита Ярославович; Архив; Заместитель директора по связям с общественностью; 475656
Сотрудник 157: Широков Даниил Александрович; Архив; Брокер; 255893
Сотрудник 158: Юдин Ярослав Александрович; Архив; Заместитель директора по связям с общественностью; 114660
Сотрудник 159: Аникин Степан Глебович; Бухгалтерия; Младший научный сотрудник; 247839
Сотрудник 160: Архипова Анастасия Александровна; Бухгалтерия; Заведующий научно-технической библиотекой; 122556
Сотрудник 161: Гусева Вера Савельевна; Бухгалтерия; Экспедитор по перевозке грузов; 455310
Сотрудник 162: Данилов Артём Всеволодович; Бухгалтерия; Финансовый директор (заместитель директора по финансам); 441597
Сотрудник 163: Калинина Екатерина Романовна; Бухгалтерия; Специалист по кадрам; 171973
Сотрудник 164: Карпов Артём Игоревич; Бухгалтерия; Инженер по организации труда; 404859
Сотрудник 165: Климов Алексей Иванович; Бухгалтерия; Оператор диспетчерской движения и погрузочно-разгрузочных работ; 181009
Сотрудник 166: Козлова Ольга Ивановна; Бухгалтерия; Учетчик; 209585
Сотрудник 167: Коновалов Кирилл Сергеевич; Бухгалтерия; Аукционист; 334243
Сотрудник 168: Лаптева Дарья Артёмовна; Бухгалтерия; Бухгалтер; 300886
Сотрудник 169: Лебедев Александр Георгиевич; Бухгалтерия; Директор котельной; 221649
Сотрудник 170: Лебедева София Матвеевна; Бухгалтерия; Эксперт дорожного хозяйства; 390089
Сотрудник 171: Миронов Арсений Львович; Бухгалтерия; Начальник отдела охраны окружающей среды; 241070
Сотрудник 172: Миронов Дмитрий Николаевич; Бухгалтерия; Главный инженер; 215489
Сотрудник 173: Орлова Анастасия Никитична; Бухгалтерия; Дилер; 346140
Сотрудник 174: Пастухов Артемий Вадимович; Бухгалтерия; Главный конструктор проекта; 143559
Сотрудник 175: Петров Евгений Львович; Бухгалтерия; Главный научный сотрудник; 277513
Сотрудник 176: Петров Егор Дмитриевич; Бухгалтерия; Начальник технического отдела; 189321
Сотрудник 177: Петров Егор Дмитриевич; Бухгалтерия; Копировщик; 406257
Сотрудник 178: Сергеева Анастасия Максимовна; Бухгалтерия; Администратор; 208012
