Сотрудник 1: Алексеев Матвей Юрьевич; IT-отдел; Начальник отдела патентной и изобретательской работы; 223554
Сотрудник 2: Андрианов Александр Романович; IT-отдел; Главный диспетчер; 187387
Сотрудник 3: Балашов Роман Дмитриевич; IT-отдел; Инженер-технолог (технолог); 485414
Сотрудник 4: Балашова Елизавета Александровна; IT-отдел; Психолог; 108385
Сотрудник 5: Баранова Виктория Артёмовна; IT-отдел; Агент коммерческий; 257329
Сотрудник 6: Белов Иван Максимович; IT-отдел; Экономист по договорной и претензионной работе; 462287
Сотрудник 7: Бирюков Максим Георгиевич; IT-отдел; Инженер по автоматизированным системам управления производством; 360941
Сотрудник 8: Булгаков Лев Михайлович; IT-отдел; Начальник отдела по связям с инвесторами; 217859
Сотрудник 9: Васильев Андрей Михайлович; IT-отдел; Аудитор; 138617
Сотрудник 10: Васильев Никита Всеволодович; IT-отдел; Начальник производственной лаборатории (по контролю производства); 458227
Сотрудник 11: Васильева Арина Петровна; IT-отдел; Начальник отдела охраны труда; 365438
Сотрудник 12: Васильева София Михайловна; IT-отдел; Начальник производственной лаборатории (по контролю производства); 224290
Сотрудник 13: Вдовина Вера Максимовна; IT-отдел; Агент по закупкам; 307508
Сотрудник 14: Давыдов Илья Константинович; IT-отдел; Заведующий фотолабораторией; 391723
Сотрудник 15: Данилов Артём Всеволодович; IT-отдел; Начальник технического отдела; 365102
Сотрудник 16: Денисов Артём Никитич; IT-отдел; Экономист по договорной и претензионной работе; 132788
Сотрудник 17: Жукова Полина Михайловна; IT-отдел; Менеджер; 168409
Сотрудник 18: Зорин Андрей Матвеевич; IT-отдел; Заведующий камерой хранения; 173030
Сотрудник 19: Иванов Роман Александрович; IT-отдел; Ученый секретарь; 394434
Сотрудник 20: Иванова Вероника Данииловна; IT-отдел; Главный специалист в основном отделе (архитектурнопланировочной мастерской); 278228
Сотрудник 21: Исакова Ангелина Максимовна; IT-отдел; Инженер-конструктор (конструктор); 433119
Сотрудник 22: Касьянова Екатерина Адамовна; IT-отдел; Техник по инструменту; 472279
Сотрудник 23: Козлов Андрей Артёмович; IT-отдел; Дежурный (по выдаче справок, залу, этажу гостиницы, комнате отдыха, общежитию и др.); 228987
Сотрудник 24: Комаров Максим Серафимович; IT-отдел; Начальник лаборатории (бюро) социологии труда; 272758
Сотрудник 25: Кондратьева Диана Викторовна; IT-отдел; Начальник гаража; 363295
Сотрудник 26: Лазарева Елизавета Александровна; IT-отдел; Инженер по защите информации; 341257
Сотрудник 27: Лапина Дарья Алексеевна; IT-отдел; Инженер по подготовке кадров; 499818
Сотрудник 28: Логинова Вера Михайловна; IT-отдел; Ведущий конструктор; 340913
Сотрудник 29: Львов Виктор Сергеевич; IT-отдел; Начальник отдела по связям с инвесторами; 118065
Сотрудник 30: Малышев Арсений Германович; IT-отдел; Инженер по подготовке производства; 331669
Сотрудник 31: Никифоров Марк Степанович; IT-отдел; Заведующий архивом; 217712
Сотрудник 32: Пастухов Артемий Вадимович; IT-отдел; Заведующий канцелярией; 486167
Сотрудник 33: Прохорова Мария Максимовна; IT-отдел; Инженер-энергетик (энергетик); 419402
Сотрудник 34: Рябов Кирилл Артёмович; IT-отдел; Начальник отдела автоматизации и механизации производственных процессов; 453518
Сотрудник 35: Сальникова Анна Максимовна; IT-отдел; Менеджер по связям с инвесторами; 124600
Сотрудник 36: Селиванов Евгений Артемьевич; IT-отдел; Таксировщик; 431375
Сотрудник 37: Сидорова Вера Тимофеевна; IT-отдел; Профконсультант; 177483
Сотрудник 38: Соловьева Владислава Ивановна; IT-отдел; Начальник финансового отдела; 137075
Сотрудник 39: Сухарев Максим Максимович; IT-отдел; Агент по снабжению; 181017
Сотрудник 40: Филиппов Никита Ярославович; IT-отдел; Начальник лаборатории (бюро) социологии труда; 480127
Сотрудник 41: Фомин Степан Иванович; IT-отдел; Младший редактор; 303442
Сотрудник 42: Шапошников Тимур Артёмович; IT-отдел; Заместитель директора по управлению персоналом; 171177
Сотрудник 43: Яковлев Алексей Ильич; IT-отдел; Шеф-инженер; 136320
Сотрудник 44: Яковлева Милана Денисовна; IT-отдел; Начальник отдела организации и оплаты труда; 369260
Сотрудник 45: Артамонов Даниил Иванович; PR-отдел; Технический редактор; 275360
Сотрудник 46: Архипов Сергей Александрович; PR-отдел; Главный диспетчер; 448978
Сотрудник 47: Афанасьев Константин Дмитриевич; PR-отдел; Заведующий чертежно-копировальным бюро; 120610
Сотрудник 48: Белова Анастасия Вадимовна; PR-отдел; Экономист; 425388
Сотрудник 49: Бирюкова Алёна Денисовна; PR-отдел; Начальник лаборатории (бюро) технико - экономических исследований; 384191
Сотрудник 50: Васильева Алиса Тимофеевна; PR-отдел; Начальник исследовательской лаборатории; 105251
Сотрудник 51: Винокуров Иван Васильевич; PR-отдел; Начальник исследовательской лаборатории; 346663
Сотрудник 52: Воронина Екатерина Матвеевна; PR-отдел; Начальник (заведующий) мастерской; 215098
Сотрудник 53: Герасимова Кира Ярославовна; PR-отдел; Статистик; 467691
Сотрудник 54: Гусев Семён Владиславович; PR-отдел; Техник вычислительного (информационно-вычислительного) центра; 287374
Сотрудник 55: Егоров Сергей Ильич; PR-отдел; Социолог; 137298
Сотрудник 56: Зайцева Анна Гордеевна; PR-отдел; Главный ландшафтный архитектор проекта; 370959
Сотрудник 57: Злобин Михаил Фёдорович; PR-отдел; Мастер контрольный (участка, цеха); 370579
Сотрудник 58: Зотов Макар Тимурович; PR-отдел; Начальник отдела стандартизации; 388848
Сотрудник 59: Зотова Кира Ярославовна; PR-отдел; Инженер по организации труда; 428377
Сотрудник 60: Зыкова Милена Матвеевна; PR-отдел; Стенографистка; 375949
Сотрудник 61: Ильина Вера Петровна; PR-отдел; Инженер по организации труда; 284065
Сотрудник 62: Карасева Виктория Данииловна; PR-отдел; Заведующий (начальник) планово-экономическим отделом; 325521
Сотрудник 63: Кириллова Анна Павловна; PR-отдел; Специалист по кадрам; 490456
Сотрудник 64: Киселева Валерия Евгеньевна; PR-отдел; Начальник смены; 220492
Сотрудник 65: Крылова Варвара Борисовна; PR-отдел; Машинистка; 451005
Сотрудник 66: Кузнецова Василиса Алексеевна; PR-отдел; Физиолог; 442927
Сотрудник 67: Кузнецова Юлия Михайловна; PR-отдел; Заведующий фотолабораторией; 484421
Сотрудник 68: Куликова Елизавета Кирилловна; PR-отдел; Директор (начальник) вычислительного (информационно - вычислительного) центра; 380656
Сотрудник 69: Лебедев Степан Матвеевич; PR-отдел; Таксировщик; 200267
Сотрудник 70: Левин Илья Степанович; PR-отдел; Техник по метрологии; 192862
Сотрудник 71: Логинова Вера Михайловна; PR-отдел; Заведующий камерой хранения; 152981
Сотрудник 72: Матвеева Анна Артёмовна; PR-отдел; Заведующий (начальник) планово-экономическим отделом; 126342
Сотрудник 73: Михайлова Любовь Алексеевна; PR-отдел; Главный механик; 308490
Сотрудник 74: Наумова София Демидовна; PR-отдел; Директор (начальник) учреждения (организации); 187828
Сотрудник 75: Осипова Арина Михайловна; PR-отдел; Инженер по автоматизированным системам управления производством; 219926
Сотрудник 76: Панкратова Ангелина Кирилловна; PR-отдел; Финансовый директор (заместитель директора по финансам); 378786
Сотрудник 77: Петров Михаил Сергеевич; PR-отдел; Начальник исследовательской лаборатории; 443775
Сотрудник 78: Пименова Алёна Артёмовна; PR-отдел; Ведущий инженер; 327516
Сотрудник 79: Розанов Владимир Львович; PR-отдел; Начальник отдела охраны труда; 290352
Сотрудник 80: Семенов Даниил Даниилович; PR-отдел; Научный сотрудник; 162918
Сотрудник 81: Семенов Матвей Даниилович; PR-отдел; Экономист по сбыту; 128870
Сотрудник 82: Суворова Алиса Филиповна; PR-отдел; Техник-технолог; 358798
Сотрудник 83: Трифонова Ольга Викторовна; PR-отдел; Инженер-проектировщик; 145258
Сотрудник 84: Троицкий Кирилл Иванович; PR-отдел; Брокер; 392549
Сотрудник 85: Филатова Екатерина Мироновна; PR-отдел; Заведующий архивом; 447687
Сотрудник 86: Харитонова Валерия Романовна; PR-отдел; Выпускающий; 379811
Сотрудник 87: Щербаков Дмитрий Кириллович; PR-отдел; Экономист; 341513
Сотрудник 88: Александрова Алина Лукинична; Администрация; Ученый секретарь; 319151
Сотрудник 89: Алексеев Матвей Юрьевич; Администрация; Инженер-энергетик (энергетик); 357383
Сотрудник 90: Власов Степан Дмитриевич; Администрация; Младший редактор; 387120
Сотрудник 91: Волков Алексей Арсеньевич; Администрация; Заведующий архивом; 103672
Сотрудник 92: Воробьева Василиса Артёмовна; Администрация; Техник по наладке и испытаниям; 304583
Сотрудник 93: Воронина Александра Никитична; Администрация; Инженер-проектировщик; 182369
Сотрудник 94: Григорьев Михаил Александрович; Администрация; Начальник отдела по связям с инвесторами; 174082
Сотрудник 95: Григорьева Анастасия Захаровна; Администрация; Переводчик-дактилолог; 314674
Сотрудник 96: Гусев Семён Владиславович; Администрация; Аудитор; 327664
Сотрудник 97: Данилов Артём Всеволодович; Администрация; Юрисконсульт; 297879
Сотрудник 98: Журавлева Виктория Тимофеевна; Администрация; Главный технолог; 319154
Сотрудник 99: Злобин Михаил Фёдорович; Администрация; Табельщик; 445342
Сотрудник 100: Иванов Егор Михайлович; Администрация; Заведующий копировально-множительным бюро; 169243
Сотрудник 101: Иванов Макар Вячеславович; Администрация; Механик; 375672
Сотрудник 102: Иванова Арина Кирилловна; Администрация; Заведующий бюро пропусков; 260903
Сотрудник 103: Иванова Арина Кирилловна; Администрация; Начальник отдела контроля качества; 325800
Сотрудник 104: Иванова Милана Марковна; Администрация; Инженер по подготовке производства; 359377
Сотрудник 105: Кондратьева Мирослава Максимовна; Администрация; Заведующий столовой; 422068
Сотрудник 106: Кузьмина Яна Евгеньевна; Администрация; Финансовый директор (заместитель директора по финансам); 259263
Сотрудник 107: Лаптева Дарья Артёмовна; Администрация; Техник по стандартизации; 196649
Сотрудник 108: Ларионов Илья Артёмович; Администрация; Эксперт дорожного хозяйства; 269889
Сотрудник 109: Леонова Яна Егоровна; Администрация; Главный технолог; 420406
Сотрудник 110: Львов Виктор Сергеевич; Администрация; Ландшафтный архитектор; 119224
Сотрудник 111: Макарова Маргарита Артёмовна; Администрация; Главный металлург; 169988
Сотрудник 112: Максимов Фёдор Маркович; Администрация; Делопроизводитель; 230863
Сотрудник 113: Малышев Арсений Германович; Администрация; Инженер по подготовке производства; 390585
Сотрудник 114: Михайлова Полина Степановна; Администрация; Инспектор фонда; 375399
Сотрудник 115: Молчанова Антонина Романовна; Администрация; Главный научный сотрудник; 381248
Сотрудник 116: Орлова Анастасия Ильинична; Администрация; Брокер; 154458
Сотрудник 117: Панфилов Алексей Владимирович; Администрация; Начальник инструментального отдела; 212141
Сотрудник 118: Петров Максим Дмитриевич; Администрация; Крупье; 256479
Сотрудник 119: Петрова Варвара Данииловна; Администрация; Машинистка; 235544
Сотрудник 120: Поляков Алексей Львович; Администрация; Директор типографии; 258625
Сотрудник 121: Прокофьев Тимофей Васильевич; Администрация; Техник вычислительного (информационно-вычислительного) центра; 229785
Сотрудник 122: Романов Даниил Андреевич; Администрация; Менеджер по рекламе; 111697
Сотрудник 123: Румянцев Антон Миронович; Администрация; Менеджер по связям с общественностью; 183237
Сотрудник 124: Рябинин Илья Викторович; Администрация; Младший научный сотрудник; 434837
Сотрудник 125: Сергеева Вероника Германовна; Администрация; Агент по продаже недвижимости; 434771
Сотрудник 126: Сидорова Варвара Алексеевна; Администрация; Начальник хозяйственного отдела; 416539
Сотрудник 127: Сизов Даниил Даниилович; Администрация; Секретарь - машинистка; 283236
Сотрудник 128: Соколов Иван Матвеевич; Администрация; Инженер по ремонту; 411600
Сотрудник 129: Спиридонова София Марковна; Администрация; Начальник отдела автоматизации и механизации производственных процессов; 120878
Сотрудник 130: Старостин Гордей Александрович; Администрация; Физиолог; 335136
Сотрудник 131: Федосеева Алиса Владиславовна; Администрация; Профконсультант; 437290
Сотрудник 132: Фомин Константин Юрьевич; Администрация; Лаборант; 387575
Сотрудник 133: Худяков Кирилл Андреевич; Администрация; Инженер; 399632
Сотрудник 134: Яковлев Тимур Александрович; Администрация; Агент торговый; 391011
Сотрудник 135: Белякова Злата Степановна; Аналитический отдел; Корпоративный секретарь акционерного общества; 438557
Сотрудник 136: Беспалов Фёдор Сергеевич; Аналитический отдел; Секретарь-стенографистка; 258831
Сотрудник 137: Булатова Анна Михайловна; Аналитический отдел; Начальник лаборатории (бюро) социологии труда; 266650
Сотрудник 138: Быкова Юлия Макаровна; Аналитический отдел; Инженер по наладке и испытаниям; 106505
Сотрудник 139: Васильев Андрей Михайлович; Аналитический отдел; Младший редактор; 332571
Сотрудник 140: Васильева Анна Андреевна; Аналитический отдел; Техник по наладке и испытаниям; 427705
Сотрудник 141: Воронина Александра Никитична; Аналитический отдел; Секретарь руководителя; 256707
Сотрудник 142: Воронцов Георгий Андреевич; Аналитический отдел; Начальник отдела подготовки кадров; 351363
Сотрудник 143: Гордеева Алиса Данииловна; Аналитический отдел; Инженер по организации труда; 229241
Сотрудник 144: Гришин Роман Маркович; Аналитический отдел; Социолог; 307215
Сотрудник 145: Еремина Елизавета Степановна; Аналитический отдел; Директор котельной; 379510
Сотрудник 146: Иванов Егор Михайлович; Аналитический отдел; Заведующий общежитием; 272100
Сотрудник 147: Игнатов Андрей Михайлович; Аналитический отдел; Экономист по планированию; 439112
Сотрудник 148: Казакова Милана Ивановна; Аналитический отдел; Инженер по ремонту; 441853
Сотрудник 149: Карасева Виктория Данииловна; Аналитический отдел; Начальник центральной заводской лаборатории; 357568
Сотрудник 150: Карпова София Андреевна; Аналитический отдел; Инструктор-дактилолог; 431644
Сотрудник 151: Ковалев Артём Семёнович; Аналитический отдел; Техник - программист; 213285
Сотрудник 152: Козлова Виктория Ильинична; Аналитический отдел; Менеджер по персоналу; 104640
Сотрудник 153: Козлова Виктория Ильинична; Аналитический отдел; Начальник смены; 150963
Сотрудник 154: Кондратьева Диана Викторовна; Аналитический отдел; Начальник (руководитель) бригады (группы); 436160
Сотрудник 155: Краснова Анастасия Александровна; Аналитический отдел; Начальник отдела сбыта; 120094
Сотрудник 156: Крылов Егор Дмитриевич; Аналитический отдел; Начальник центральной заводской лаборатории; 143624
Сотрудник 157: Кузьмина Ангелина Ильинична; Аналитический отдел; Дежурный (по выдаче справок, залу, этажу гостиницы, комнате отдыха, общежитию и др.); 259956
Сотрудник 158: Леонтьева Полина Данииловна; Аналитический отдел; Инженер по нормированию труда; 247717
Сотрудник 159: Лукьянов Владимир Миронович; Аналитический отдел; Инженер-лаборант; 308720
Сотрудник 160: Минин Илья Маркович; Аналитический отдел; Начальник отдела информации; 289657
Сотрудник 161: Михайлова Любовь Алексеевна; Аналитический отдел; Инженер по подготовке производства; 246019
Сотрудник 162: Назарова Арина Ивановна; Аналитический отдел; Начальник гаража; 392170
Сотрудник 163: Никитина Мирослава Михайловна; Аналитический отдел; Научный сотрудник; 312425
Сотрудник 164: Николаев Александр Даниилович; Аналитический отдел; Начальник нормативно-исследовательской лаборатории по труду; 433816
Сотрудник 165: Никулина Ксения Владимировна; Аналитический отдел; Управляющий отделением (фермой, сельскохозяйственным участком); 436224
Сотрудник 166: Новиков Денис Даниилович; Аналитический отдел; Экспедитор; 267023
Сотрудник 167: Орлов Иван Павлович; Аналитический отдел; Экономист; 367438
Сотрудник 168: Павлова Ева Антоновна; Аналитический отдел; Эксперт; 136009
Сотрудник 169: Пименова Полина Львовна; Аналитический отдел; Специалист по защите информации; 245144
Сотрудник 170: Румянцева Вероника Александровна; Аналитический отдел; Менеджер по связям с общественностью; 432442
Сотрудник 171: Савельев Павел Георгиевич; Аналитический отдел; Менеджер по персоналу; 390369
Сотрудник 172: Семенова Анастасия Константиновна; Аналитический отдел; Заведующий общежитием; 291803
Сотрудник 173: Семенова Варвара Глебовна; Аналитический отдел; Начальник финансового отдела; 316564
Сотрудник 174: Сергеева Виктория Данииловна; Аналитический отдел; Агент по снабжению; 191536
Сотрудник 175: Сизов Даниил Даниилович; Аналитический отдел; Главный специалист по защите информации; 385448
Сотрудник 176: Синицын Роман Борисович; Аналитический отдел; Инженер по надзору за строительством; 345031
Сотрудник 177: Скворцов Артём Иванович; Аналитический отдел; Архитектор; 153252
Сотрудник 178: Сорокина Вероника Марковна; Аналитический отдел; Инспектор по контролю за исполнением поручений; 371432
Сотрудник 179: Троицкая Ульяна Марковна; Аналитический отдел; Начальник (руководитель) бригады (группы); 246968
Сотрудник 180: Троицкая Ульяна Марковна; Аналитический отдел; Финансовый директор (заместитель директора по финансам); 393771
Сотрудник 181: Ульянов Александр Максимович; Аналитический отдел; Социолог; 443015
Сотрудник 182: Фролов Илья Евгеньевич; Аналитический отдел; Социолог; 224209
Сотрудник 183: Абрамова Мия Николаевна; Архив; Администратор; 226080
Сотрудник 184: Акимов Ярослав Владиславович; Архив; Главный научный сотрудник; 254534
Сотрудник 185: Алексеев Михаил Робертович; Архив; Редактор; 193911
Сотрудник 186: Андреев Лев Платонович; Архив; Начальник лаборатории (бюро) технико - экономических исследований; 452990
Сотрудник 187: Архипова Анастасия Александровна; Архив; Главный редактор; 298159
Сотрудник 188: Бочаров Марк Владимирович; Архив; Техник по инвентаризации строений и сооружений; 233419
Сотрудник 189: Васильева София Михайловна; Архив; Инженер-энергетик (энергетик); 242207
Сотрудник 190: Горюнова Мария Арсеньевна; Архив; Секретарь-стенографистка; 149459
Сотрудник 191: Ефремов Фёдор Миронович; Архив; Оператор по диспетчерскому обслуживанию лифтов; 350642
Сотрудник 192: Зуева Вера Арсеньевна; Архив; Начальник отдела патентной и изобретательской работы; 292000
Сотрудник 193: Иванов Глеб Алексеевич; Архив; Агент по снабжению; 128519
Сотрудник 194: Ильин Артём Даниилович; Архив; Главный механик; 188418
Сотрудник 195: Калашников Пётр Михайлович; Архив; Специалист по связям с общественностью; 208403
Сотрудник 196: Козлов Андрей Артёмович; Архив; Таксировщик; 195656
Сотрудник 197: Козлова Виктория Ильинична; Архив; Главный диспетчер; 267153
Сотрудник 198: Козлова Виктория Ильинична; Архив; Аукционист; 467961
Сотрудник 199: Колесова Виктория Андреевна; Архив; Экономист по планированию; 492527
Сотрудник 200: Колесова София Александровна; Архив; Заведующий фотолабораторией; 216070
Сотрудник 201: Коновалов Демид Савельевич; Архив; Агент; 235085
Сотрудник 202: Кудрявцева Василиса Максимовна; Архив; Техник - программист; 309693
Сотрудник 203: Кудрявцева Василиса Максимовна; Архив; Начальник отдела охраны труда; 410678
Сотрудник 204: Кудряшова Алиса Арсеньевна; Архив; Заведующий бюро пропусков; 458019
Сотрудник 205: Кузнецов Тимофей Матвеевич; Архив; Комендант; 278091
Сотрудник 206: Куликова Арина Алексеевна; Архив; Экономист по бухгалтерскому учету и анализу хозяйственной деятельности; 405509
Сотрудник 207: Куликова Елизавета Кирилловна; Архив; Дилер; 160825
Сотрудник 208: Леонов Савва Кириллович; Архив; Заведующий (начальник) отделом стандартизации; 497637
Сотрудник 209: Лукин Дмитрий Артёмович; Архив; Дилер; 225433
Сотрудник 210: Лукьянов Александр Дмитриевич; Архив; Заведующий жилым корпусом пансионата (гостиницы); 399887
Сотрудник 211: Маркелова Дарья Дмитриевна; Архив; Инженер по наладке и испытаниям; 392385
Сотрудник 212: Маслов Иван Михайлович; Архив; Методист по физической культуре; 403563
Сотрудник 213: Матвеева Анастасия Захаровна; Архив; Заведующий архивом; 374268
Сотрудник 214: Морозова Александра Мирославовна; Архив; Профконсультант; 316603
Сотрудник 215: Никонова Варвара Матвеевна; Архив; Главный бухгалтер; 218081
Сотрудник 216: Пастухов Артемий Вадимович; Архив; Инженер по охране окружающей среды (эколог); 457179
Сотрудник 217: Петров Максим Дмитриевич; Архив; Заведующий камерой хранения; 349929
Сотрудник 218: Петрова Злата Платоновна; Архив; Главный научный сотрудник; 310232
Сотрудник 219: Петрова Милана Дмитриевна; Архив; Комендант; 168820
Сотрудник 220: Петрова Таисия Михайловна; Архив; Техник-лаборант; 149798
Сотрудник 221: Савельева Антонина Матвеевна; Архив; Аудитор; 264924
Сотрудник 222: Сидорова Варвара Алексеевна; Архив; Стенографистка; 154559
Сотрудник 223: Сизов Даниил Даниилович; Архив; Заведующий чертежно-копировальным бюро; 369888
Сотрудник 224: Смирнов Александр Глебович; Архив; Начальник планово - экономического отдела; 383429
Сотрудник 225: Субботина Арина Леонидовна; Архив; Агент коммерческий; 295248
Сотрудник 226: Трифонова Ольга Викторовна; Архив; Начальник отдела материально-технического снабжения; 214577
Сотрудник 227: Федорова Ольга Ивановна; Архив; Копировщик; 143024
Сотрудник 228: Фокина Полина Марковна; Архив; Начальник отдела комплектации оборудования; 340138
Сотрудник 229: Яковлев Алексей Ильич; Архив; Ведущий научный сотрудник; 493392
Сотрудник 230: Агеева Анастасия Семёновна; Бухгалтерия; Калькулятор; 261413
Сотрудник 231: Александров Захар Иванович; Бухгалтерия; Учетчик; 312326
Сотрудник 232: Алексеев Михаил Робертович; Бухгалтерия; Техник по инструменту; 361088
Сотрудник 233: Андреева Елена Артёмовна; Бухгалтерия; Начальник нормативно-исследовательской лаборатории по труду; 296010
Сотрудник 234: Анисимова Варвара Михайловна; Бухгалтерия; Брокер торговый; 464254
Сотрудник 235: Афанасьев Тимур Алексеевич; Бухгалтерия; Начальник производственного отдела; 177716
Сотрудник 236: Васильева Полина Ярославовна; Бухгалтерия; Директор котельной; 295052
Сотрудник 237: Васильева Полина Ярославовна; Бухгалтерия; Технический редактор; 490486
Сотрудник 238: Волков Алексей Арсеньевич; Бухгалтерия; Переводчик; 251308
Сотрудник 239: Воронина Александра Никитична; Бухгалтерия; Оператор по диспетчерскому обслуживанию лифтов; 110857
Сотрудник 240: Глебов Платон Дмитриевич; Бухгалтерия; Начальник отдела (лаборатории, сектора) по защите информации; 128801
Сотрудник 241: Григорьев Артём Александрович; Бухгалтерия; Младший редактор; 383536
Сотрудник 242: Дмитриев Максим Владиславович; Бухгалтерия; Специалист по автотехнической экспертизе (эксперт-автотехник); 166657
Сотрудник 243: Емельянов Григорий Кириллович; Бухгалтерия; Секретарь - машинистка; 308206
Сотрудник 244: Жуков Степан Максимович; Бухгалтерия; Корпоративный секретарь акционерного общества; 371687
Сотрудник 245: Захарова Екатерина Германовна; Бухгалтерия; Специалист по связям с общественностью; 176649
Сотрудник 246: Иванов Марк Фёдорович; Бухгалтерия; Экономист по договорной и претензионной работе; 189405
Сотрудник 247: Иванов Святослав Олегович; Бухгалтерия; Корректор; 470053
Сотрудник 248: Иванова Арина Григорьевна; Бухгалтерия; Заведующий фотолабораторией; 432041
Сотрудник 249: Касьянова Екатерина Адамовна; Бухгалтерия; Агент торговый; 314907
Сотрудник 250: Козлов Максим Ярославович; Бухгалтерия; Инженер по метрологии; 291529
Сотрудник 251: Лебедев Артём Петрович; Бухгалтерия; Начальник инструментального отдела; 230412
Сотрудник 252: Лебедев Артём Петрович; Бухгалтерия; Юрисконсульт; 423626
Сотрудник 253: Малышева Дарья Тимуровна; Бухгалтерия; Начальник отдела подготовки кадров; 243799
Сотрудник 254: Миронов Дмитрий Николаевич; Бухгалтерия; Специалист по промышленной безопасности подъемных сооружений; 497663
Сотрудник 255: Михайлов Даниил Даниилович; Бухгалтерия; Начальник ремонтного цеха; 496480
Сотрудник 256: Новиков Денис Даниилович; Бухгалтерия; Младший научный сотрудник; 378999
Сотрудник 257: Прохорова Александра Вадимовна; Бухгалтерия; Заведующий архивом; 441289
Сотрудник 258: Семенов Матвей Кириллович; Бухгалтерия; Аукционист; 191346
Сотрудник 259: Семенова Яна Максимовна; Бухгалтерия; Инженер по подготовке производства; 190945
Сотрудник 260: Сидорова Варвара Алексеевна; Бухгалтерия; Аукционист; 196095
Сотрудник 261: Смирнова Варвара Владимировна; Бухгалтерия; Главный редактор; 420160
Сотрудник 262: Сомов Борис Демидович; Бухгалтерия; Начальник цеха (участка); 316613
Сотрудник 263: Сухарев Максим Максимович; Бухгалтерия; Заместитель директора по капитальному строительству; 365027
Сотрудник 264: Фролов Илья Евгеньевич; Бухгалтерия; Заведующий камерой хранения; 495683
Сотрудник 265: Чернышева Мария Данииловна; Бухгалтерия; Начальник (руководитель) бригады (группы); 150275
Сотрудник 266: Шилова Александра Родионовна; Бухгалтерия; Статистик; 342413
Сотрудник 267: Яковлев Сергей Григорьевич; Бухгалтерия; Ведущий экономист; 116268
