Сотрудник 1: Абрамов Пётр Львович; IT-отдел; Чертежник-конструктор; 400119
Сотрудник 2: Агеева Ева Макаровна; IT-отдел; Специалист по связям с общественностью; 177514
Сотрудник 3: Аксенова Ульяна Дмитриевна; IT-отдел; Начальник технического отдела; 426798
Сотрудник 4: Алексеев Михаил Робертович; IT-отдел; Начальник (заведующий) мастерской; 389152
Сотрудник 5: Алексеева Мия Львовна; IT-отдел; Техник вычислительного (информационно-вычислительного) центра; 491781
Сотрудник 6: Алексеева София Марковна; IT-отдел; Экономист по планированию; 359288
Сотрудник 7: Алексеева София Марковна; IT-отдел; Начальник производственной лаборатории (по контролю производства); 373308
Сотрудник 8: Андреев Даниил Кириллович; IT-отдел; Инженер по инвентаризации строений и сооружений; 136446
Сотрудник 9: Андреева Елена Артёмовна; IT-отдел; Инженер по научно-технической информации; 491587
Сотрудник 10: Архипов Сергей Александрович; IT-отдел; Нарядчик; 179602
Сотрудник 11: Афанасьев Тимур Алексеевич; IT-отдел; (начальник) научноисследовательским сектором (лабораторией), входящим в состав научно - исследовательского отдела (отделения, лаборатории) института; 448829
Сотрудник 12: Баженова Алиса Сергеевна; IT-отдел; Заведующая машинописным бюро; 360402
Сотрудник 13: Баженова Ольга Кирилловна; IT-отдел; Менеджер по связям с инвесторами; 213393
Сотрудник 14: Балашов Савва Ильич; IT-отдел; Заместитель директора по связям с общественностью; 194930
Сотрудник 15: Басова Валерия Львовна; IT-отдел; Научный сотрудник; 117052
Сотрудник 16: Безрукова Яна Максимовна; IT-отдел; Архитектор; 310399
Сотрудник 17: Белякова Елизавета Максимовна; IT-отдел; Главный специалист в основном отделе (архитектурнопланировочной мастерской); 228831
Сотрудник 18: Белякова Елизавета Максимовна; IT-отдел; Коммивояжер; 304569
Сотрудник 19: Белякова Елизавета Максимовна; IT-отдел; Оператор диспетчерской службы; 453216
Сотрудник 20: Беспалов Фёдор Сергеевич; IT-отдел; Экономист; 338683
Сотрудник 21: Борисов Григорий Викторович; IT-отдел; Коммивояжер; 387988
Сотрудник 22: Борисов Тимур Георгиевич; IT-отдел; Методист по физической культуре; 422990
Сотрудник 23: Борисова Полина Артёмовна; IT-отдел; Директор (начальник) вычислительного (информационно - вычислительного) центра; 167895
Сотрудник 24: Булатов Алексей Маркович; IT-отдел; Техник-конструктор; 105510
Сотрудник 25: Васильев Владимир Николаевич; IT-отдел; Заместитель директора (начальника) учреждения (организации) по научной работе. Главный инженер учреждения (организации); 376758
Сотрудник 26: Васильев Михаил Андреевич; IT-отдел; (начальник) научноисследовательским сектором (лабораторией), входящим в состав научно - исследовательского отдела (отделения, лаборатории) института; 453448
Сотрудник 27: Васильев Никита Всеволодович; IT-отдел; Главный метролог; 180048
Сотрудник 28: Васильева Варвара Ярославовна; IT-отдел; Шеф-инженер; 470576
Сотрудник 29: Волкова Александра Ярославовна; IT-отдел; Экономист по материально-техническому снабжению; 323585
Сотрудник 30: Волкова Полина Максимовна; IT-отдел; Техник; 311416
Сотрудник 31: Воробьева Кира Николаевна; IT-отдел; Начальник лаборатории (бюро) технико - экономических исследований; 376502
Сотрудник 32: Воронин Фёдор Павлович; IT-отдел; Начальник (заведующий) мастерской; 266181
Сотрудник 33: Гаврилова Елизавета Леонидовна; IT-отдел; Дежурный бюро пропусков; 342084
